model,image,resolution,detections,average confidence
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-01-30.jpg,16,26,0.4506089985370636
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-01-30.jpg,16,38,0.4307986795902252
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-01-30.jpg,16,37,0.4283210337162018
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-01-30.jpg,16,45,0.4249494969844818
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-01-30.jpg,16,41,0.40287843346595764
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-13-00.jpg,16,34,0.4137813448905945
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-13-00.jpg,16,38,0.40607860684394836
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-13-00.jpg,16,32,0.4186171889305115
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-13-00.jpg,16,35,0.40478515625
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-13-00.jpg,16,26,0.3492906391620636
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-03-00.jpg,16,33,0.41393837332725525
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-03-00.jpg,16,48,0.40916725993156433
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-03-00.jpg,16,32,0.45722854137420654
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-03-00.jpg,16,42,0.3897678852081299
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-03-00.jpg,16,43,0.37089794874191284
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-18-30.jpg,16,33,0.4382174015045166
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-18-30.jpg,16,40,0.3935008943080902
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-18-30.jpg,16,35,0.4119327664375305
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-18-30.jpg,16,39,0.4199664890766144
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-18-30.jpg,16,32,0.4061284065246582
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-04-30.jpg,16,38,0.43162307143211365
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-04-30.jpg,16,49,0.4234049916267395
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-04-30.jpg,16,39,0.4153434634208679
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-04-30.jpg,16,45,0.4143640398979187
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-04-30.jpg,16,42,0.3822840750217438
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-01-00.jpg,16,28,0.4303569793701172
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-01-00.jpg,16,41,0.43482643365859985
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-01-00.jpg,16,36,0.4251087009906769
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-01-00.jpg,16,36,0.4139236807823181
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-01-00.jpg,16,37,0.3843020498752594
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-17-30.jpg,16,35,0.425744891166687
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-17-30.jpg,16,39,0.3992283344268799
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-17-30.jpg,16,37,0.4417591691017151
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-17-30.jpg,16,38,0.3739829361438751
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-17-30.jpg,16,26,0.3616393208503723
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-12-30.jpg,16,33,0.4349738657474518
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-12-30.jpg,16,35,0.4352056384086609
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-12-30.jpg,16,35,0.4342093765735626
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-12-30.jpg,16,34,0.4088418483734131
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-12-30.jpg,16,29,0.3536807596683502
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-06-30.jpg,16,43,0.43017035722732544
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-06-30.jpg,16,55,0.4024532437324524
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-06-30.jpg,16,41,0.4180189371109009
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-06-30.jpg,16,50,0.39660248160362244
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-06-30.jpg,16,44,0.3799718916416168
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-08-00.jpg,16,38,0.43810999393463135
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-08-00.jpg,16,41,0.40075960755348206
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-08-00.jpg,16,40,0.40405669808387756
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-08-00.jpg,16,45,0.394668847322464
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-08-00.jpg,16,29,0.3935973048210144
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-10-30.jpg,16,29,0.41856029629707336
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-10-30.jpg,16,39,0.40577077865600586
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-10-30.jpg,16,36,0.4104127585887909
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-10-30.jpg,16,36,0.39115670323371887
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-10-30.jpg,16,40,0.3450976312160492
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-11-30.jpg,16,27,0.4305284321308136
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-11-30.jpg,16,39,0.4196304976940155
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-11-30.jpg,16,25,0.4048968553543091
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-11-30.jpg,16,36,0.3954428732395172
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-11-30.jpg,16,23,0.3588640093803406
