model,dataset,average_detections,average_confidence
facebook/detr-resnet-50,100,43.74,0.68
facebook/detr-resnet-50,90,43.74,0.68
facebook/detr-resnet-50,80,43.50,0.68
facebook/detr-resnet-50,70,44.16,0.68
facebook/detr-resnet-50,60,43.39,0.68
facebook/detr-resnet-50,50,44.03,0.68
facebook/detr-resnet-50,40,43.76,0.68
facebook/detr-resnet-50,30,43.53,0.68
facebook/detr-resnet-50,20,43.55,0.67
facebook/detr-resnet-50,10,48.87,0.65
facebook/detr-resnet-101,100,49.39,0.67
facebook/detr-resnet-101,90,49.74,0.66
facebook/detr-resnet-101,80,49.37,0.66
facebook/detr-resnet-101,70,49.32,0.67
facebook/detr-resnet-101,60,48.82,0.67
facebook/detr-resnet-101,50,49.92,0.67
facebook/detr-resnet-101,40,49.42,0.66
facebook/detr-resnet-101,30,49.11,0.67
facebook/detr-resnet-101,20,49.97,0.67
facebook/detr-resnet-101,10,54.82,0.66
