epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,647.104,1.62688,9.5626,1.51243,0.82303,0.65523,0.75968,0.40042,1.67725,1.52801,1.60529,0.00332755,0.00332755,0.00332755
2,1291.77,1.67414,6.45263,1.50353,0.72287,0.60836,0.6803,0.33233,1.87665,1.64236,1.86784,0.00659494,0.00659494,0.00659494
3,1934.34,1.8766,4.15157,1.68805,0.47564,0.45972,0.47071,0.22737,1.89637,1.90347,1.94326,0.00979633,0.00979633,0.00979633
4,2574.19,2.00369,3.19746,1.85168,0.33445,0.20034,0.16516,0.06903,2.65197,3.45762,2.71476,0.009703,0.009703,0.009703
5,3213.02,1.87467,2.0967,1.74026,0.64183,0.59457,0.64193,0.31564,1.86667,1.48467,1.97765,0.009604,0.009604,0.009604
6,3850.98,1.84134,1.74372,1.74157,0.81941,0.67859,0.80184,0.42842,1.74259,1.38008,1.88558,0.009505,0.009505,0.009505
7,4490.42,1.81282,1.5084,1.72675,0.8297,0.69841,0.81539,0.44956,1.7043,1.20472,1.81981,0.009406,0.009406,0.009406
8,641.939,1.74088,1.35194,1.63223,0.82264,0.7114,0.81662,0.44585,1.70568,1.09487,1.81856,0.009307,0.009307,0.009307
9,1280.97,1.70908,1.35784,1.60783,0.83302,0.79061,0.87275,0.47337,1.6226,0.96108,1.7434,0.009208,0.009208,0.009208
10,1920.91,1.69836,1.24402,1.61579,0.83815,0.7053,0.82377,0.44018,1.6845,1.30333,1.78019,0.009109,0.009109,0.009109
11,2557.95,1.66299,1.23258,1.58378,0.87676,0.80617,0.8984,0.51629,1.52925,0.92201,1.67407,0.00901,0.00901,0.00901
12,3196.54,1.62522,1.13609,1.54822,0.85061,0.77854,0.87191,0.46822,1.63684,1.03045,1.76496,0.008911,0.008911,0.008911
13,3832.99,1.56339,1.08763,1.51783,0.89763,0.84576,0.9259,0.54125,1.48571,0.80955,1.61932,0.008812,0.008812,0.008812
14,4471.82,1.60519,1.01373,1.55195,0.87776,0.86084,0.91909,0.5328,1.54413,0.80333,1.64414,0.008713,0.008713,0.008713
15,5108.59,1.57696,1.02554,1.50936,0.90844,0.83929,0.91191,0.50387,1.60803,0.82065,1.70415,0.008614,0.008614,0.008614
16,5744.87,1.55306,0.96826,1.48664,0.90865,0.8528,0.92253,0.52829,1.51092,0.7819,1.62233,0.008515,0.008515,0.008515
17,6380.79,1.56792,0.97412,1.51631,0.89864,0.88243,0.93416,0.54207,1.50513,0.76194,1.63971,0.008416,0.008416,0.008416
18,641.674,1.50707,0.91324,1.45861,0.90877,0.8785,0.94363,0.55433,1.47293,0.72212,1.58889,0.008317,0.008317,0.008317
19,645.28,1.41356,0.81188,1.39017,0.90233,0.89401,0.93955,0.55923,1.45819,0.71936,1.57068,0.008218,0.008218,0.008218
20,1286.72,1.51984,0.9516,1.44798,0.8802,0.85785,0.91672,0.53335,1.53819,0.75964,1.6681,0.008119,0.008119,0.008119
21,1926.28,1.49542,0.88615,1.46203,0.9307,0.88626,0.95163,0.56772,1.44351,0.70077,1.57373,0.00802,0.00802,0.00802
22,2566.61,1.50504,0.93187,1.45218,0.89885,0.88453,0.93816,0.56257,1.45396,0.74566,1.5807,0.007921,0.007921,0.007921
23,3204.22,1.43964,0.8703,1.41115,0.9232,0.88563,0.94822,0.57411,1.42487,0.69315,1.55152,0.007822,0.007822,0.007822
24,3844.02,1.40611,0.81455,1.39524,0.92696,0.90995,0.95379,0.58831,1.39843,0.6335,1.5313,0.007723,0.007723,0.007723
25,4484.54,1.47001,0.83284,1.44704,0.93844,0.89986,0.95672,0.58232,1.41088,0.65676,1.55346,0.007624,0.007624,0.007624
