model,image,resolution,detections,average confidence
extra_large,4MP/2024-08-25-16-38-30.jpg,4,11,0.4095829129219055
large,4MP/2024-08-25-16-38-30.jpg,4,10,0.36360546946525574
medium,4MP/2024-08-25-16-38-30.jpg,4,7,0.3423753082752228
small,4MP/2024-08-25-16-38-30.jpg,4,7,0.3379676640033722
nano,4MP/2024-08-25-16-38-30.jpg,4,4,0.3009102940559387
extra_large,4MP/2024-08-25-16-31-00.jpg,4,11,0.3511090576648712
large,4MP/2024-08-25-16-31-00.jpg,4,15,0.3620859980583191
medium,4MP/2024-08-25-16-31-00.jpg,4,8,0.315355509519577
small,4MP/2024-08-25-16-31-00.jpg,4,5,0.3649385869503021
nano,4MP/2024-08-25-16-31-00.jpg,4,1,0.32364100217819214
extra_large,4MP/2024-08-25-16-26-30.jpg,4,9,0.3802880048751831
large,4MP/2024-08-25-16-26-30.jpg,4,8,0.3619917631149292
medium,4MP/2024-08-25-16-26-30.jpg,4,6,0.3333688974380493
small,4MP/2024-08-25-16-26-30.jpg,4,8,0.301344633102417
nano,4MP/2024-08-25-16-26-30.jpg,4,3,0.39798209071159363
extra_large,4MP/2024-08-25-16-23-00.jpg,4,11,0.35923823714256287
large,4MP/2024-08-25-16-23-00.jpg,4,13,0.32450148463249207
medium,4MP/2024-08-25-16-23-00.jpg,4,7,0.338919460773468
small,4MP/2024-08-25-16-23-00.jpg,4,10,0.34817203879356384
nano,4MP/2024-08-25-16-23-00.jpg,4,4,0.2980227470397949
extra_large,4MP/2024-08-25-16-40-00.jpg,4,12,0.39090657234191895
large,4MP/2024-08-25-16-40-00.jpg,4,11,0.3934360444545746
medium,4MP/2024-08-25-16-40-00.jpg,4,8,0.3906441926956177
small,4MP/2024-08-25-16-40-00.jpg,4,6,0.3443640470504761
nano,4MP/2024-08-25-16-40-00.jpg,4,5,0.3040652275085449
extra_large,4MP/2024-08-25-16-34-30.jpg,4,15,0.3639249801635742
large,4MP/2024-08-25-16-34-30.jpg,4,16,0.34884756803512573
medium,4MP/2024-08-25-16-34-30.jpg,4,6,0.40115585923194885
small,4MP/2024-08-25-16-34-30.jpg,4,4,0.2902880311012268
nano,4MP/2024-08-25-16-34-30.jpg,4,5,0.35906606912612915
extra_large,4MP/2024-08-25-16-36-30.jpg,4,12,0.35641393065452576
large,4MP/2024-08-25-16-36-30.jpg,4,13,0.34184759855270386
medium,4MP/2024-08-25-16-36-30.jpg,4,5,0.44760003685951233
small,4MP/2024-08-25-16-36-30.jpg,4,7,0.34315457940101624
nano,4MP/2024-08-25-16-36-30.jpg,4,5,0.3391483724117279
extra_large,4MP/2024-08-25-16-21-00.jpg,4,15,0.3368474543094635
large,4MP/2024-08-25-16-21-00.jpg,4,12,0.34102120995521545
medium,4MP/2024-08-25-16-21-00.jpg,4,6,0.33022892475128174
small,4MP/2024-08-25-16-21-00.jpg,4,10,0.4000120759010315
nano,4MP/2024-08-25-16-21-00.jpg,4,6,0.39380785822868347
extra_large,4MP/2024-08-25-16-28-30.jpg,4,10,0.39566197991371155
large,4MP/2024-08-25-16-28-30.jpg,4,10,0.35364872217178345
medium,4MP/2024-08-25-16-28-30.jpg,4,3,0.41788604855537415
small,4MP/2024-08-25-16-28-30.jpg,4,7,0.35640376806259155
nano,4MP/2024-08-25-16-28-30.jpg,4,2,0.35602867603302
extra_large,4MP/2024-08-25-16-24-30.jpg,4,13,0.3928656578063965
large,4MP/2024-08-25-16-24-30.jpg,4,15,0.3301677405834198
medium,4MP/2024-08-25-16-24-30.jpg,4,2,0.5145751237869263
small,4MP/2024-08-25-16-24-30.jpg,4,3,0.38117465376853943
nano,4MP/2024-08-25-16-24-30.jpg,4,5,0.3408604562282562
extra_large,4MP/2024-08-25-16-33-00.jpg,4,10,0.37825828790664673
large,4MP/2024-08-25-16-33-00.jpg,4,8,0.38024380803108215
medium,4MP/2024-08-25-16-33-00.jpg,4,2,0.44341713190078735
small,4MP/2024-08-25-16-33-00.jpg,4,4,0.393065869808197
